Organism Name	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
Prevotella	55.0429970410705	58.6749124256568	51.4110816564843	-0.190775313072177	0.435202874692555	-0.438359496607067	0.66112570271999	0.999305423788884
sp.	54.1567595745193	46.8437476032421	61.4697715457964	0.347632118263451	0.473996256385375	0.733406885772562	0.463310300713265	0.999305423788884
bacterium	14.6727975252265	13.698744111523	15.64685093893	0.110047714686973	1.14662286245383	0.0959755105976748	0.923540022470684	0.999305423788884
Bacteroides	13.1306619470841	13.2222814450599	13.0390424491083	0.0207955175896233	1.09712735063664	0.0189545156973401	0.984877390098933	0.999305423788884
Roseburia	4.13208114379381	5.28380972779143	2.98035255979619	-0.777934769170431	1.81979463083802	-0.427484923841208	0.669026163732291	0.999305423788884
Megasphaera	3.78488034084053	3.09923184198678	4.47052883969429	0.456364051907624	1.90131124259301	0.240025957709709	0.810310133387946	0.999305423788884
Ruminococcus	3.64720733856079	1.33370955752919	5.96070511959238	2.10081435248686	2.47215614005524	0.849790318033843	0.395441673468845	0.999305423788884
Dialister	3.62505335293487	3.52466600612451	3.72544069974524	0.138813257531169	1.91102422978149	0.0726381462714585	0.942094070548525	0.999305423788884
Lactobacillus	3.36994481680774	2.64190486389572	4.09798476971976	0.540565402807509	2.01775234460602	0.267904732834325	0.788772650553792	0.999305423788884
Eubacterium	3.3403104883308	2.21009213696732	4.47052883969428	1.0762314141114	2.00616730369393	0.53646144672468	0.591639674052571	0.999305423788884
Clostridium	2.78468366476435	2.21647069975799	3.35289662977071	0.70443508157475	2.36338130488689	0.298062390574959	0.765655545588555	0.999305423788884
Clostridiales	2.63123523964936	2.65466198947705	2.60780848982167	-0.00192223527192561	2.20814019749452	-0.000870522294783041	0.999305423788884	0.999305423788884
Blautia	2.30729020238235	0.889139705019461	3.72544069974524	1.99007005596215	2.6708615818547	0.745104152713224	0.456208758878923	0.999305423788884
Parabacteroides	2.30410092098702	0.882761142228794	3.72544069974524	1.98579749042499	2.52019208054815	0.787954817314189	0.430723135056034	0.999305423788884
Faecalibacterium	2.2290568411979	2.22284926254865	2.23526441984714	-0.0485133450416168	4.27737507431338	-0.0113418496621796	0.990950707277162	0.999305423788884
Porphyromonas	2.08500527612748	0.444569852509731	3.72544069974524	2.99780272386645	2.92099229580722	1.02629600501497	0.304752079799453	0.999305423788884
Alloprevotella	1.92215999096791	3.09923184198678	0.745088139949047	-1.74671689497298	2.79597291643101	-0.624725970952045	0.532150924773003	0.999305423788884
Prevotellamassilia	1.31457386915719	2.62914773831438	0	-3.46956887050323	4.82110947594585	-0.719661913469106	0.471733181621441	0.999305423788884
Muribaculum	1.30390424491083	0	2.60780848982167	3.95780208908374	3.87051181432221	1.02255264392645	0.30651940986916	0.999305423788884
Duodenibacillus	1.29450738486625	2.21647069975799	0.372544069974524	-1.95005945009177	3.53524029291853	-0.551605913181616	0.581218384232606	0.999305423788884
Paraprevotella	1.22248160233105	1.32733099473852	1.11763220992357	-0.513742488712231	3.73547619049536	-0.137530655400618	0.890611363454079	0.999305423788884
Alistipes	1.11763220992357	0	2.23526441984714	3.7357078822016	4.85787948596814	0.768999703058114	0.441893486811381	0.999305423788884
Oscillibacter	1.00338595747152	0.889139705019461	1.11763220992357	0.162985720682813	4.82087471549628	0.0338083294633046	0.97302999379284	0.999305423788884
Proteiniphilum	0.967373066203913	0.444569852509731	1.4901762798981	1.71272383926451	4.802221150727	0.356652429262909	0.721352022338168	0.999305423788884
Bacteroidales	0.964183784808579	0.438191289719063	1.4901762798981	1.72322585060283	4.80668927797029	0.358505772049924	0.719964849097877	0.999305423788884
Fusicatenibacter	0.813924641088921	0.882761142228794	0.745088139949047	0.00672568475062534	4.39175553041472	0.0015314342303544	0.998778092749336	0.999305423788884
Streptococcus	0.810735359693587	0.876382579438127	0.745088139949047	0.00858422248433198	4.80028974244714	0.0017882717387713	0.998573166349597	0.999305423788884
Flavonifractor	0.781101031216651	0.444569852509731	1.11763220992357	1.15787279551989	4.82567800489157	0.239939920223895	0.810376832779077	0.999305423788884
Salmonella	0.781101031216651	0.444569852509731	1.11763220992357	1.15787279551989	4.82567800489157	0.239939920223895	0.810376832779077	0.999305423788884
Colibacter	0.777911749821317	0.438191289719063	1.11763220992357	1.16761265885617	4.81719256905476	0.242384468156166	0.808482268231472	0.999305423788884
Sutterella	0.666854778764596	1.33370955752919	0	-2.48946445862479	4.85621612853888	-0.51263460948428	0.608206938793361	0.999305423788884
Bacteria	0.657286934578595	1.31457386915719	0	-2.46991886617342	4.85718372967074	-0.508508428677631	0.611096829604574	0.999305423788884
Coprococcus	0.594828996229389	0.444569852509731	0.745088139949047	0.995249718844726	4.71481543416631	0.211089857650114	0.832817154345033	0.999305423788884
Hallella	0.594828996229389	0.444569852509731	0.745088139949047	0.995249718844726	4.71481543416631	0.211089857650114	0.832817154345033	0.999305423788884
Butyricimonas	0.558816104961786	0	1.11763220992357	2.61504494919943	4.92830427522212	0.530617592413482	0.595683802179782	0.999305423788884
Dysgonomonas	0.558816104961786	0	1.11763220992357	2.61504494919943	4.92830427522212	0.530617592413482	0.595683802179782	0.999305423788884
Escherichia	0.558816104961786	0	1.11763220992357	2.61504494919943	4.92830427522212	0.530617592413482	0.595683802179782	0.999305423788884
Fibrobacter	0.558816104961786	0	1.11763220992357	2.61504494919943	4.92830427522212	0.530617592413482	0.595683802179782	0.999305423788884
Flexilinea	0.558816104961786	0	1.11763220992357	2.61504494919943	4.92830427522212	0.530617592413482	0.595683802179782	0.999305423788884
